review_id,theme_1,theme_2_optional,is_churn_risk
0055f119-ee65-480b-bb25-4661de4d5417,booking_app_ux,competitor's_praise,N
00e1a35e-d25c-442a-b957-2a3414b1df57,service_quality,,Y
ea361638-ec85-4baa-88f3-a38ab17d6074,generic_praise,,N
71a13cee-ce90-4c1c-9baf-24149a75c87e,generic_praise,,N
387f43c6-1d1b-4852-85d2-c22f3730ac1b,generic_praise,,N
0fc6e332-ba92-4ec3-9e60-186656c1e146,service_quality,customer_support,Y
892c2b0c-fd69-4e11-9dfa-ec2e2aa09f89,over_priced,safety_trust,Y
728a6fd8-fba4-437b-85d6-3cba63018e2c,booking_app_ux,,N
0cc4adab-ac63-4d62-a1af-d92e2953069e,service_quality,,Y
4a76762e-89eb-413a-b6f3-a10290fe3ee1,competitor's_praise,booking_app_ux,Y
3060c823-a57a-4416-9949-8f14c21e6104,safety_trust,,N
b9d282e1-962d-4660-9b42-eb580248e19a,punctuality_noshow,,Y
b29b3345-51a3-4434-922c-d115127f3277,booking_app_ux,,N
bb4c2366-94b7-4118-ac56-787864a9a5e7,generic_praise,,N
366a04fc-dad3-413c-bcd5-f0a5ca4a3fad,service_quality,,Y
75ca3f1b-fa4a-4d34-9f9b-4e9dcdfbd51e,booking_app_ux,,N
74a99929-2372-48df-a9e2-bb5633571a13,over_priced,,Y
3e392fbf-efe1-4c90-b846-bf3cbeabb7b0,generic_praise,,N
ab675e7d-2ef7-4b48-8f6e-0a2ff304e8b8,generic_praise,,N
3798c951-e86e-4209-9740-a39b9b039c9c,refund_cancellation,,Y
b6f8d955-ba84-4b07-9838-18fcec090952,generic_praise,,N
bccdd51c-c22b-430b-b789-63f353d49caf,over_priced,,N
08504e24-5b81-48d1-9be2-2baab92b1779,generic_praise,,N
a5de267e-70a2-47db-9180-5ca6144b9b81,customer_support,booking_app_ux,Y
068dcbca-1883-4b65-9a45-6b96dc80d378,customer_support,,Y
40732201-a6c5-4ed1-832e-59e825cc0caa,over_priced,,Y
85470a09-bb86-49da-813c-eecc373e8da8,generic_praise,,N
13ace872-6c8c-44b1-b892-03e10a37f7f0,generic_praise,,N
476b7fea-69e0-4477-b308-a236a3721922,punctuality_noshow,refund_cancellation,Y
42297769-40b7-4027-bcea-b1252a786899,generic_praise,,N
16fb441f-af9c-4026-9c3e-af16c145d34d,over_priced,,Y
d7eeac66-52c3-411f-84fa-3d2c38a58810,other_not_listed,,Y
