review_id,review_text,rating,date,thumbs_up_count
0055f119-ee65-480b-bb25-4661de4d5417,"Instahelp is absolutely useless for working professionals. No slots available at 7am to 9am. Slots mostly available only after 9am, which is very late Short duration slots not available Also booking can be done only for 1 day in advance, which is again a headache. Other apps provide way more flexibility",1,2026-07-28 03:28:57,0
00e1a35e-d25c-442a-b957-2a3414b1df57,Poor experience ac serviceman damaged my 2 ac during service horror experience,1,2026-07-28 02:02:57,0
ea361638-ec85-4baa-88f3-a38ab17d6074,"Urban Company, 5 Stars, Excellent staff, Quality work, Well behaved & well trained. Never get greedy like other businesses to increase your profit margin %. Be affordable + Be approachable = Be in Business. Continue with the good work that your entire team is doing. Best regards, Happy regular customer",5,2026-07-28 00:21:09,0
71a13cee-ce90-4c1c-9baf-24149a75c87e,Kainat Sayyed great service and polite behaviour... all work done by prefecation...,5,2026-07-28 00:01:45,0
387f43c6-1d1b-4852-85d2-c22f3730ac1b,excellent app care for customer like this good Job 👍 your maid has been able to make All the task 6of all the work very clean behaviour is very good,5,2026-07-27 23:55:54,0
0fc6e332-ba92-4ec3-9e60-186656c1e146,bakwas service hai inki house made kaam bekar karti hai aur attitude itna hota hai jaise koi celebrity ho aur helpline par complaint karne ka bhi koi response nhi milta don't use this app.,1,2026-07-27 23:05:28,0
892c2b0c-fd69-4e11-9dfa-ec2e2aa09f89,the worst app I've ever used apart from partener assigning issue they also show wrong price and when come ask some other price which in turn lead to more clashes with manager and other ppl. conclusion is it's the worst app and scamming ppl. all I can say is pathetic,1,2026-07-27 22:55:31,0
728a6fd8-fba4-437b-85d6-3cba63018e2c,Kitana wait karege sab jagah toh apani service di hue hai Dhampur Distt Bijnor Moradabad division kya dikkat hai yeh batao bijnor tak service hai ya tum log froud ho iska matlab,1,2026-07-27 22:39:56,0
0cc4adab-ac63-4d62-a1af-d92e2953069e,The worst service is that they hire an inexperienced technician they don't know after washing AC dont switch on the ac within half an hour because of that our AC pcb board is broken,1,2026-07-27 21:59:09,0
4a76762e-89eb-413a-b6f3-a10290fe3ee1,Not better Than Snabbit. Snabbit persons are very punctual and more professional. They also do the choras work very fast.. once booked they reach to your location within 10 minutes. Urban is not even capable to meet this kind of service quality. taking whole long day to book 1 person & that too not sure if they are gonna reach to your home. doubtful and slow. this app ask for scheduled prior booking.,2,2026-07-27 21:41:53,0
3060c823-a57a-4416-9949-8f14c21e6104,"They don't seem to have any control over behaviour of maids. in spite of repeated to pull up a maid for bad behaviour, no action has been taken so far.",2,2026-07-27 21:23:44,0
b9d282e1-962d-4660-9b42-eb580248e19a,"They leave the customer high and dry , to deal with their own issue if you buy their product like water purifier. They are not able to manage professional for servicing in 5-6 days and keeps rescheduling daily , irritating the customers.",1,2026-07-27 21:11:42,0
b29b3345-51a3-4434-922c-d115127f3277,"There is a bug in this app. it keeps going in a loop and norifying again and again for insta maid rating. Quite frustrating also, the app gets you to give 5 star rating by default ... otherwise you keep getting annoying notifications. please fix",3,2026-07-27 21:02:37,0
bb4c2366-94b7-4118-ac56-787864a9a5e7,outstanding product,5,2026-07-27 20:31:53,0
366a04fc-dad3-413c-bcd5-f0a5ca4a3fad,"bad service by fridge repair technician. technician from urban came changed parts, and said fridge would work properly and cooling would take 6 to 6 hours. even after 24 hours, the food in the freezer is still not frozen.",1,2026-07-27 20:11:53,0
75ca3f1b-fa4a-4d34-9f9b-4e9dcdfbd51e,so many times slots not available.... that's why I'm giving 3 star's..,3,2026-07-27 19:34:22,0
